foil,alpha,ncrit,conv,aero_conv,failure_mode,newton_iterations,wall_ms,CL,CD,OASPL,rescue_conv,rescue_conv_guarded
EPPLER 864 STRUT AIRFOIL.dat,-2.0,9.0,0,0,no_convergence,100,535.1,,,,0,0
EPPLER 864 STRUT AIRFOIL.dat,0.0,9.0,0,0,no_convergence,100,454.0,,,,0,0
EPPLER 864 STRUT AIRFOIL.dat,2.0,9.0,0,0,transition_front_oscillation,100,441.4,,,,0,0
EPPLER 864 STRUT AIRFOIL.dat,4.0,9.0,0,0,transition_front_oscillation,100,452.3,,,,0,0
EPPLER 864 STRUT AIRFOIL.dat,6.0,9.0,0,0,nan_lock,100,60.7,,,,0,0
EPPLER 864 STRUT AIRFOIL.dat,8.0,9.0,1,1,,36,284.2,0.6897305550037915,0.012787529485900166,91.06540824779331,,
FX 61-168 AIRFOIL.dat,-4.0,5.0,0,0,no_convergence,100,515.1,,,,1,0
FX 61-168 AIRFOIL.dat,-2.0,5.0,1,1,,8,85.0,0.3398053916143125,0.005766226160434532,68.59682913292573,,
FX 61-168 AIRFOIL.dat,0.0,5.0,1,1,,6,70.5,0.5790318549147697,0.005954392247690344,68.68084546718657,,
FX 61-168 AIRFOIL.dat,2.0,5.0,1,1,,7,76.7,0.8140492278338713,0.006405019279345107,68.85231450695596,,
FX 61-168 AIRFOIL.dat,4.0,5.0,1,1,,22,178.7,1.0390680845457028,0.007523722809167699,69.32169616711978,,
FX 61-168 AIRFOIL.dat,6.0,5.0,1,1,,46,336.0,1.253870867010723,0.009172386003898499,70.2699759954589,,
FX 61-168 AIRFOIL.dat,8.0,5.0,0,0,diverged,100,422.7,,,,1,1
FX 61-168 AIRFOIL.dat,-4.0,9.0,0,0,nan_lock,100,390.6,,,,1,0
FX 61-168 AIRFOIL.dat,-2.0,9.0,1,1,,16,155.7,0.3425844461841251,0.005615821568521148,68.56959562605658,,
FX 61-168 AIRFOIL.dat,0.0,9.0,1,1,,10,106.9,0.5809975219986083,0.005871352360898656,68.67546472072317,,
FX 61-168 AIRFOIL.dat,2.0,9.0,1,1,,25,206.1,0.8169170925475848,0.0062404025394486575,68.82096710833983,,
FX 61-168 AIRFOIL.dat,4.0,9.0,1,1,,8,79.9,1.04765558729277,0.006860578637123031,69.09814432390641,,
FX 61-168 AIRFOIL.dat,6.0,9.0,1,1,,12,111.5,1.2670730285045477,0.008175962268630514,69.78680175540842,,
FX 61-168 AIRFOIL.dat,8.0,9.0,0,0,transition_front_oscillation,100,422.3,,,,1,1
FX 67-K-150-17 AIRFOIL.dat,-4.0,5.0,1,1,,19,179.4,0.07710789598995078,0.008249592645691889,69.00848421249651,,
FX 67-K-150-17 AIRFOIL.dat,-2.0,5.0,1,1,,19,176.4,0.3062175485796782,0.007161389209470452,68.6051327956634,,
FX 67-K-150-17 AIRFOIL.dat,0.0,5.0,1,1,,7,74.9,0.5301384480188763,0.00488243743376057,67.8492480931274,,
FX 67-K-150-17 AIRFOIL.dat,2.0,5.0,1,1,,21,175.2,0.7627415139186207,0.005069779785493814,67.88839042859406,,
FX 67-K-150-17 AIRFOIL.dat,4.0,5.0,1,1,,5,58.5,0.9931648995809939,0.005505714979971904,68.18751909617163,,
FX 67-K-150-17 AIRFOIL.dat,6.0,5.0,0,0,no_convergence,100,436.7,,,,1,1
FX 67-K-150-17 AIRFOIL.dat,8.0,5.0,0,0,transition_front_oscillation,100,434.9,,,,1,1
FX 67-K-150-17 AIRFOIL.dat,-4.0,9.0,1,1,,9,89.6,0.08138586804926255,0.009283778629158431,69.18744262217272,,
