foil_idx,foil,Re,alpha,nCrit,ncrithyst,converged,failure_mode,newton_iterations,CL,CD,error
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,12.0,9.0,0.0,1,,13,1.3402413451977664,0.0438003172974002,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,12.0,9.0,0.1,1,,13,1.3402413451977664,0.0438003172974002,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,12.0,9.0,0.2,1,,13,1.3402413451977664,0.0438003172974002,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,12.0,9.0,0.4,1,,13,1.3402413451977664,0.0438003172974002,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,12.0,9.0,0.8,1,,13,1.3402413451977664,0.0438003172974002,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,12.0,12.0,0.0,1,,19,1.297670984553155,0.0502777613944869,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,12.0,12.0,0.1,1,,19,1.297670984553155,0.0502777613944869,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,12.0,12.0,0.2,1,,19,1.297670984553155,0.0502777613944869,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,12.0,12.0,0.4,1,,19,1.297670984553155,0.0502777613944869,
4,AG27 Bubble Dancer DLG by Mark Drela,500000.0,12.0,12.0,0.8,1,,19,1.297670984553155,0.0502777613944869,
